manual_level1,Bas,CMP,DCs,Eos,Ery,GMP,LMPP,LTHSC,Ly,MEP,MPP,Meg,Neu,pDC
B_cell,0,6,0,0,0,0,241,531,25,1,3,0,0,0
DC,0,0,384,0,0,0,0,0,2,0,0,0,0,107
T_cell,5,0,70,0,0,0,12,112,110,0,3,0,0,2
ambiguous_myeloid,1,5,26,2,1,0,11,45,3,0,8,1,0,16
cycling_myeloid,9,2304,214,14,164,273,189,21,156,1,257,334,375,0
erythroid,0,0,0,0,1061,0,0,0,1,0,0,0,0,0
granulocyte_neutrophil,484,5,15508,297,894,13,35,257,3,0,51,299,1198,37
monocyte,1,12,1057,3,1,6,0,9,0,0,0,2,2,3
myeloid_progenitor,159,4146,188,120,910,984,109,55,64,47,261,650,2091,1
plasma_cell,0,0,2,2,0,0,0,47,0,0,0,0,0,11
progenitor,1,1305,1,0,6,13,880,1582,272,2,1138,55,3,2
