manual_level1,D1_DMSO_I_45_1,D1_DMSO_I_45_2,D1_DMSO_LK_45_1,D1_DMSO_LK_45_2,D1_DMSO_LSK_45_1,D1_DMSO_LSK_45_2,D1_STM_I_45_1,D1_STM_I_45_2,D1_STM_LK_45_1,D1_STM_LK_45_2,D1_STM_LSK_45_1,D1_STM_LSK_45_2,D2_DMSO_I_45_1,D2_DMSO_I_45_2,D2_DMSO_LK_45_1,D2_DMSO_LK_45_2,D2_DMSO_LSK_45_1,D2_DMSO_LSK_45_2,D2_STM_I_45_1,D2_STM_I_45_2,D2_STM_LK_45_1,D2_STM_LK_45_2,D2_STM_LSK_45_1,D2_STM_LSK_45_2
B_cell,0,722,0,4,1,0,0,0,2,11,1,1,0,49,0,3,0,0,0,5,2,2,0,4
DC,0,72,42,15,4,1,0,8,19,177,1,8,1,53,22,33,0,5,0,2,14,7,0,9
T_cell,0,294,0,0,4,0,0,0,0,0,4,0,0,3,0,0,2,3,2,0,2,0,0,0
ambiguous_myeloid,3,36,0,1,2,0,14,15,1,0,0,0,0,7,0,0,2,13,7,7,1,1,2,7
cycling_myeloid,3,84,717,247,296,22,1,19,395,702,82,40,0,120,506,343,42,44,0,7,412,64,63,102
erythroid,0,1,102,66,10,0,0,0,224,168,6,4,0,2,124,179,4,5,2,0,130,24,4,7
granulocyte_neutrophil,1830,1511,5,1,0,0,1642,2625,4,2,0,0,1538,2567,0,1,0,0,3971,3379,2,1,0,2
monocyte,30,388,4,2,1,0,18,169,1,14,0,3,1,393,1,1,1,0,3,56,3,3,2,2
myeloid_progenitor,4,107,1472,585,84,10,4,25,1215,2074,29,28,1,165,1261,981,30,29,4,23,1166,342,63,83
plasma_cell,4,5,0,0,11,0,7,0,0,0,6,1,5,4,0,0,10,1,3,2,0,0,3,0
progenitor,0,9,178,98,1314,84,0,0,198,591,495,150,0,5,254,174,381,140,0,0,188,104,515,382
